name,Countrycode,id,Area
Andorra,AD,AND,468
Albania,AL,ALB,28748
Austria,AT,AUT,83879
Bosnia and Herz.,BA,BIH,51129
Belgium,BE,BEL,30528
Bulgaria,BG,BGR,110370
Switzerland,CH,CHE,41290
Cyprus,CY,CYP,9251
Czechia,CZ,CZE,78868
Germany,DE,DEU,357376
Denmark,DK,DNK,42924
Estonia,EE,EST,45227
Spain,ES,ESP,505944
Finland,FI,FIN,338145
France,FR,FRA,633186.6
United Kingdom,GB,GBR,248536
Gibraltar,GI,GIB,6.5
Greece,GR,GRC,132049
Croatia,HR,HRV,56594
Hungary,HU,HUN,93030
Ireland,IE,IRL,69797
Iceland,IS,ISL,102775
Italy,IT,ITA,302073
Lithuania,LT,LTU,65286
Luxembourg,LU,LUX,2586
Latvia,LV,LVA,64573
Montenegro,ME,MNE,13812
Macedonia,MK,MKD,25333
Malta,MT,MLT,316
Netherlands,NL,NLD,41540
Norway,NO,NOR,385188
Poland,PL,POL,312685
Portugal,PT,PRT,92226
Romania,RO,ROU,238397
Serbia,RS,SRB,77453
Sweden,SE,SWE,438574
Slovenia,SI,SVN,20273
Slovakia,SK,SVK,49035
Turkey,TR,TUR,783562
Kosovo,XK,KOSOVO,10908